Pacific Time,Sleep Needed,Relationship,Sleep Time,Sleep Hours,Quality,Ability,GPA
Y,6,P,1,8,3,3,3.8
Y,7,P,2,7,4,5,3.78
Y,8,P,3,8,4,2,3.9
Y,8,P,3,7,4,1,3.01
N,8,P,3,7,5,5,0
Y,8,P,2,8,4,3,3.74
Y,8,P,1,5,2,4,3.7
Y,8,P,3,6,4,4,3.3
N,6,P,6,6,4,4,0
Y,8,P,1.5,6,3,5,4.0
Y,8,P,3,5,4,5,3.6
Y,8,P,2,6,3,4,3.9
Y,8,P,5,7,3,2,3.32
Y,8,P,1.5,9,5,5,3.1
Y,7,P,2,6,4,4,0
Y,8,NO,0,8,2,4,3.4
Y,6,NO,3,5,4,3,3.76
Y,8,P,2,7,4,4,3.76
Y,8,P,1,7,4,3,0
Y,6,P,2.5,6,4,2,3.8
Y,8,P,2,7,3,3,3.93
Y,7,P,2,7,2,1,3.54
Y,8,P,0,6,3,1,3.81
Y,8,P,0,8,5,5,3.3
Y,8,P,1,8,3,1,3.9
Y,8,P,0,8,4,4,3.8
Y,8,P,0,8,4,4,3.7
Y,8,P,0.5,8,3,5,3.65
Y,8,P,-1,7,5,5,4.0
Y,8,P,1.5,7,3,3,3.4
N,8,P,-1,8,4,4,3.55
Y,8,P,-0.5,8,4,3,3.84
Y,8,P,0,7,3,4,0
N,9,P,-1,9,4,4,3.62
N,8,P,2,10,2,3,3.75
Y,6,N,3,6,3,3,0
Y,8,P,2,10,5,3,3.85
Y,8,P,2,6,3,2,3.88
Y,8,P,3,6,4,5,3.8
Y,9,P,-1,8,4,5,3.7
Y,8,P,1,7.5,4,4,3.91
Y,9,P,0,8,4,3,3.8
Y,8,P,-1,9,4,4,4.0
N,8,P,3,5,2,1,3.72
N,8,P,3,8,3,4,0
N,8,NO,5,8,4,2,0
Y,8,P,1.5,7,5,5,3.49
Y,7,P,1,7,3,2,3.9
Y,7,P,3,6,4,5,3.2
Y,7,P,2,6,4,4,3.9
Y,8,P,2,6,3,5,0
Y,8,P,2,6,3,3,0
Y,8,P,2,7,2,1,3.1
Y,8,P,3,7,3,2,0
Y,6,P,2,7,2,1,3.55
Y,8,P,-1,7,3,1,3.66
Y,7,P,2.5,7,5,5,4.0
Y,7,P,2,7,2,1,3.54
Y,7,P,-1,8,4,5,3.54
N,8,P,4.5,7,2,2,0
Y,7,P,1,7,3,2,4.0
Y,7,P,1,7,3,2,4.0
N,9,P,0.5,9,4,4,2.01
N,7,P,2,7,2,1,3.7
Y,8,P,7,2,3,1,0
N,8,P,6,7,4,1,3.73
Y,7,P,3,7,3,1,2.9
Y,6,P,2,7,3,3,3.2
Y,7,P,0,6,2,3,3.75
Y,9,P,1,8.5,3,5,3.38
Y,8,NO,4,8,4,4,3.71
Y,6,P,3,10,3,5,3.7
Y,8,P,0,7,4,3,3.7
N,8,P,2,7,4,5,0
N,8,P,2,8,3,5,4.0
Y,6,P,5,6,3,4,3.2
Y,8,P,-0.5,8,4,4,3.8
N,8,P,4,9,4,5,3.3
Y,8,P,0,7,4,5,3.44
Y,8,P,0,7.5,3,3,3.9
Y,6,P,-0.5,8,2,3,3.75
Y,8,P,-2,8,4,4,3.8
Y,8,P,3,7,1,1,0
Y,9,P,2,8,2,1,3.8
N,8,P,4,8,5,5,0
Y,8,P,2.5,7,3,3,0
Y,8,P,2,6,5,2,0
Y,8,P,2,8,3,3,0
Y,8,P,2,8,3,4,0
Y,8,P,1,7,3,2,0
Y,8,P,1,7,4,4,3.9
Y,6,P,2,4,3,5,3.75
Y,7,P,3,6,3,3,0
Y,8,P,1,7,4,5,3.69
Y,9,P,1,9,3,5,3.7
Y,9,P,4,8,3,4,3.7
Y,8,P,3.5,7,4,2,3.68
Y,7,P,4,7,3,1,3.5
N,9,P,1,6,1,1,0
N,8,P,1.5,8,4,5,4.0
Y,9,P,0.5,9,5,4,4.0
N,7,P,5,5,2,3,4.0
Y,6,P,2,6,4,3,3
Y,8,P,0,6,3,1,3.8
Y,8,P,3,6,2,3,3.5
N,8,P,4,5,2,3,3.6
N,6,P,3,6,3,3,3.7
N,8,P,3,5,3,3,3.8
N,7,N,3,5,2,3,3.5
N,9,NO,2,5,1,2,3.4
N,8,NO,1,5,1,3,3.3
N,8,P,3,6,1,2,3.2
N,8,P,2,7,2,3,3.5
N,8,P,6,7,3,2,3.8
N,5,P,5,7,2,3,3.9
N,6,P,4,6,1,2,3.8
N,7,P,3,6,3,1,3.7
N,7,P,3,5,2,3,3.6
N,9,NO,3,4,1,3,3.5
N,8,NO,4,5,3,2,3.4
N,8,P,5,5,3,1,3.6
N,8,NO,4,5,2,2,3.7
N,8,P,3,6,2,3,3.8
N,8,NO,4,5,2,2,3.9
N,8,P,5,5,2,1,4
N,6,P,6,5,1,3,3.9
N,7,P,7,4,1,2,3.0
N,6,P,8,6,2,1,3.4
N,7,P,4,6,3,3,3.5
N,8,P,5,5,2,3,3.6
N,9,P,3,6,1,2,3.5
